Country,Year,Value
Russian Federation,2007,3523107
Russian Federation,2008,3509073
Russian Federation,2009,3220929
Russian Federation,2010,3387568
Russian Federation,2011,3529942
Russian Federation,2012,3739640
Russian Federation,2013,3750303
Russian Federation,2014,3840075
Russian Federation,2015,3879612
Russian Federation,2016,3960122
Slovak Republic,2002,25906
Slovak Republic,2003,27520
Slovak Republic,2004,28940
Slovak Republic,2005,32693
Slovak Republic,2006,33038
Slovak Republic,2007,37701
Slovak Republic,2008,39494
Slovak Republic,2009,35347
Slovak Republic,2010,36705
Slovak Republic,2011,37936
Slovak Republic,2012,38081
Slovak Republic,2013,39505
Slovak Republic,2014,41038
Slovak Republic,2015,42705
Slovak Republic,2016,46120
Spain,2002,204595
Spain,2003,212317
Spain,2004,241112
Spain,2005,254088
Spain,2006,262581
Spain,2007,279017
Spain,2008,262781
Spain,2009,227837
Spain,2010,226823
Spain,2011,225034
Spain,2012,217495
Spain,2013,210651
Spain,2014,215033
Spain,2015,230314
Spain,2016,237627
Sweden,2002,55817
Sweden,2003,56773
Sweden,2004,57782
Sweden,2005,60231
Sweden,2006,62170
Sweden,2007,63775
Sweden,2008,65291
Sweden,2009,55430.093
Sweden,2010,59737.149
Sweden,2011,59810.096
Sweden,2012,63054
Sweden,2013,63060
Sweden,2014,63252
Sweden,2015,62197
Sweden,2016,64107
Switzerland,2002,25513.21814
Switzerland,2003,25850.10328
Switzerland,2004,27113.19713
Switzerland,2005,27658.77441
Switzerland,2006,29022.72748
Switzerland,2007,29103.71747
Switzerland,2008,29687.65712
Switzerland,2009,27613.82856
Switzerland,2010,28238.44921
Switzerland,2011,29138.7084
Switzerland,2012,28402.31591
Switzerland,2013,29329.5531
Switzerland,2014,30130.89355
Switzerland,2015,29762.48158
Switzerland,2016,29470.91871
United Kingdom,2002,183795.8146
United Kingdom,2003,186439.1755
United Kingdom,2004,194331.7826
United Kingdom,2005,199188.789
United Kingdom,2006,200034.7844
United Kingdom,2007,204714.2974
United Kingdom,2008,193016.8857
United Kingdom,2009,170343.4775
United Kingdom,2010,182839.4199
United Kingdom,2011,181231.4172
United Kingdom,2012,184243.5422
United Kingdom,2013,163486.4487
United Kingdom,2014,159184.8849
United Kingdom,2015,171267.5886
United Kingdom,2016,174817.8562
