Country,Sector,Value,trueValue,Population,tonnesPerCapita
Spain,Energy,236737.814,236737814,47105358,5.025708838
Spain,Industry,26109.644,26109644,47105358,0.554281829
Spain,Waste,13886.593,13886593,47105358,0.294798587
Sweden,Industry,7949.204,7949204,10278888,0.773352526
Sweden,Waste,1094.382,1094382,10278888,0.10646891
Sweden,Agriculture,6948.119,6948119,10278888,0.675960182
Sweden,Energy,34928.16,34928160,10278888,3.398048505
Switzerland,Industry,4387.215,4387215,8575280,0.511611866
Switzerland,Waste,755.615,755615,8575280,0.08811549
Switzerland,Agriculture,5864.249,5864249,8575280,0.683855104
Switzerland,Energy,35088.21,35088210,8575280,4.091785924
Switzerland,Other,12.898,12898,8575280,0.001504091
Turkey,Energy,364369.801,364369801,82579448,4.412354524
Turkey,Agriculture,68023.704,68023704,82579448,0.823736482
Turkey,Waste,17247.634,17247634,82579448,0.208861096
Turkey,Industry,56439.279,56439279,82579448,0.683454302
Ukraine,Energy,219173.09,219173090,44386203,4.937865264
Ukraine,Agriculture,42477.207,42477207,44386203,0.95699123
Ukraine,Industry,58238.707,58238707,44386203,1.312090313
Ukraine,Waste,12225.018,12225018,44386203,0.275423829
United Kingdom,Energy,363582.934,363582934,66796807,5.443118471
United Kingdom,Agriculture,42133.765,42133765,66796807,0.630775136
United Kingdom,Waste,19295.675,19295675,66796807,0.288871218
United Kingdom,Industry,28089.084,28089084,66796807,0.42051537
