Country,Year,Total Population,Population Growth
Switzerland,1969,  6 096,0.962170323
Switzerland,1970,  6 151,0.892670412
Switzerland,1971,  6 203,0.847086451
Switzerland,1972,  6 251,0.779225888
Switzerland,1973,  6 293,0.65989622
Switzerland,1974,  6 322,0.468300708
Switzerland,1975,  6 337,0.237661907
Switzerland,1976,  6 336,-0.016632395
Switzerland,1977,  6 322,-0.223501443
Switzerland,1978,  6 302,-0.312789869
Switzerland,1979,  6 287,-0.240112649
Switzerland,1980,  6 284,-0.048942962
Switzerland,1981,  6 296,0.192366665
Switzerland,1982,  6 321,0.404833542
Switzerland,1983,  6 357,0.558957663
Switzerland,1984,  6 396,0.619829998
Switzerland,1985,  6 435,0.614120007
Switzerland,1986,  6 473,0.584623484
Switzerland,1987,  6 511,0.580035955
Switzerland,1988,  6 551,0.616487623
Switzerland,1989,  6 597,0.711829063
Switzerland,1990,  6 653,0.841442638
Switzerland,1991,  6 719,0.991225896
Switzerland,1992,  6 793,1.102693956
Switzerland,1993,  6 869,1.119270604
Switzerland,1994,  6 938,1.011364641
Switzerland,1995,  6 996,0.823128421
Switzerland,1996,  7 038,0.607646123
Switzerland,1997,  7 069,0.433019083
Switzerland,1998,  7 092,0.3292352
Switzerland,1999,  7 115,0.327929186
Switzerland,2000,  7 144,0.403835205
Switzerland,2001,  7 179,0.495677069
Switzerland,2002,  7 220,0.573937893
Switzerland,2003,  7 268,0.664577395
Switzerland,2004,  7 324,0.761725852
Switzerland,2005,  7 387,0.86144652
Switzerland,2006,  7 458,0.963107525
Switzerland,2007,  7 537,1.05960597
Switzerland,2008,  7 623,1.138916803
Switzerland,2009,  7 714,1.194779994
Switzerland,2010,  7 809,1.228587037
Switzerland,2011,  7 907,1.259035785
Switzerland,2012,  8 008,1.27757877
Switzerland,2013,  8 109,1.259614441
Switzerland,2014,  8 206,1.197786228
Switzerland,2015,  8 297,1.106165815
Switzerland,2016,  8 380,1.002076108
Switzerland,2017,  8 456,0.905522311
Switzerland,2018,  8 526,0.825670247
Switzerland,2019,  8 591,0.771170264
Switzerland,2020,  8 655,0.736286137
United Kingdom,1950,  50 616,484.8440567
United Kingdom,1951,  50 602,-0.027842964
United Kingdom,1952,  50 651,0.097520003
United Kingdom,1953,  50 751,0.196849939
United Kingdom,1954,  50 891,0.275720784
United Kingdom,1955,  51 064,0.339934964
United Kingdom,1956,  51 266,0.395539652
United Kingdom,1957,  51 496,0.448286419
United Kingdom,1958,  51 755,0.502886619
United Kingdom,1959,  52 046,0.562260394
United Kingdom,1960,  52 371,0.62431906
United Kingdom,1961,  52 728,0.682001035
United Kingdom,1962,  53 109,0.72378758
United Kingdom,1963,  53 501,0.7368206
United Kingdom,1964,  53 883,0.714065143
United Kingdom,1965,  54 241,0.664598584
United Kingdom,1966,  54 569,0.604734199
United Kingdom,1967,  54 867,0.545477689
United Kingdom,1968,  55 133,0.484947754
United Kingdom,1969,  55 368,0.426874458
United Kingdom,1970,  55 573,0.371162378
United Kingdom,1971,  55 749,0.315040697
United Kingdom,1972,  55 892,0.258083917
United Kingdom,1973,  56 006,0.203745009
United Kingdom,1974,  56 092,0.153141727
United Kingdom,1975,  56 152,0.107441233
United Kingdom,1976,  56 188,0.064152286
United Kingdom,1977,  56 204,0.027140858
United Kingdom,1978,  56 206,0.004113616
United Kingdom,1979,  56 205,-0.001464259
United Kingdom,1980,  56 209,0.007253792
United Kingdom,1981,  56 221,0.020592728
United Kingdom,1982,  56 241,0.036764013
United Kingdom,1983,  56 277,0.062912721
United Kingdom,1984,  56 333,0.099705401
United Kingdom,1985,  56 414,0.143172102
United Kingdom,1986,  56 523,0.193127343
United Kingdom,1987,  56 658,0.240178669
United Kingdom,1988,  56 813,0.272676923
United Kingdom,1989,  56 974,0.284328762
United Kingdom,1990,  57 134,0.280982883
United Kingdom,1991,  57 291,0.273766878
United Kingdom,1992,  57 446,0.27098421
United Kingdom,1993,  57 602,0.271973486
United Kingdom,1994,  57 763,0.279681642
United Kingdom,1995,  57 932,0.292690618
United Kingdom,1996,  58 114,0.312612361
United Kingdom,1997,  58 307,0.333426519
United Kingdom,1998,  58 510,0.34755842
United Kingdom,1999,  58 716,0.351883607
United Kingdom,2000,  58 923,0.353304888
United Kingdom,2001,  59 124,0.341073876
United Kingdom,2002,  59 326,0.341681979
United Kingdom,2003,  59 561,0.396341966
United Kingdom,2004,  59 873,0.522705726
United Kingdom,2005,  60 288,0.693458929
United Kingdom,2006,  60 821,0.88474724
United Kingdom,2007,  61 455,1.042076525
United Kingdom,2008,  62 145,1.122678824
United Kingdom,2009,  62 829,1.099880798
United Kingdom,2010,  63 460,1.004607454
United Kingdom,2011,  64 022,0.885790676
United Kingdom,2012,  64 525,0.786258807
United Kingdom,2013,  64 984,0.710907195
United Kingdom,2014,  65 423,0.675601531
United Kingdom,2015,  65 860,0.668114699
United Kingdom,2016,  66 298,0.664734299
United Kingdom,2017,  66 727,0.64786172
United Kingdom,2018,  67 142,0.620756404
United Kingdom,2019,  67 530,0.578601863
United Kingdom,2020,  67 886,0.526939363
