Country,Time,GDP Growth
Estonia,2003,7.600265185
Estonia,2004,6.804007771
Estonia,2005,9.526426972
Estonia,2006,9.76558337
Estonia,2007,7.57914052
Estonia,2008,-5.132000958
Estonia,2009,-14.62905503
Estonia,2010,2.444265118
Estonia,2011,7.263084581
Estonia,2012,3.228200494
Estonia,2013,1.458428636
Estonia,2014,3.011366587
Estonia,2015,1.853020046
Estonia,2016,3.155564814
Estonia,2017,5.792044675
Estonia,2018,4.133819798
Estonia,2019,4.096342644
Finland,2000,5.773362458
Finland,2001,2.610019124
Finland,2002,1.707148962
Finland,2003,2.003784203
Finland,2004,3.99209129
Finland,2005,2.779850556
Finland,2006,4.027409658
Finland,2007,5.299336507
Finland,2008,0.783995061
Finland,2009,-8.074447432
Finland,2010,3.185958654
Finland,2011,2.547664838
Finland,2012,-1.397545728
Finland,2013,-0.901696316
Finland,2014,-0.364908157
Finland,2015,0.543659212
Finland,2016,2.811457767
Finland,2017,3.19240963
Finland,2018,1.141947509
Finland,2019,1.343755373
France,2000,3.923669227
France,2001,1.983721419
France,2002,1.135531482
France,2003,0.823160757
France,2004,2.829752929
France,2005,1.66321998
France,2006,2.449323601
France,2007,2.424736243
France,2008,0.25494596
France,2009,-2.873313828
France,2010,1.949437623
France,2011,2.192700633
France,2012,0.313134751
France,2013,0.576326675
France,2014,0.956183052
France,2015,1.112912341
France,2016,1.095464404
France,2017,2.291419994
France,2018,1.865066071
France,2019,1.842971814
Germany,2000,2.912502964
Germany,2001,1.681468481
Germany,2002,-0.197973835
Germany,2003,-0.700116686
Germany,2004,1.175088132
Germany,2005,0.731707164
Germany,2006,3.816441913
Germany,2007,2.976455131
Germany,2008,0.959879134
Germany,2009,-5.693836336
Germany,2010,4.179882499
Germany,2011,3.925192705
Germany,2012,0.418497594
Germany,2013,0.437591303
Germany,2014,2.209543431
Germany,2015,1.491931528
Germany,2016,2.229999868
Germany,2017,2.680231114
Germany,2018,1.086024514
Germany,2019,1.055508247
Greece,2000,3.919770905
Greece,2001,4.131611969
Greece,2002,3.922872114
Greece,2003,5.794530776
Greece,2004,5.060992902
Greece,2005,0.59914188
Greece,2006,5.652433708
Greece,2007,3.273746933
Greece,2008,-0.335172558
Greece,2009,-4.300733458
Greece,2010,-5.478627432
Greece,2011,-10.14931483
Greece,2012,-7.086696786
Greece,2013,-2.515997222
Greece,2014,0.475695947
Greece,2015,-0.19608763
Greece,2016,-0.487173294
Greece,2017,1.09214912
Greece,2018,1.668428636
Greece,2019,1.803595256
Hungary,2000,4.479193809
Hungary,2001,4.074091517
Hungary,2002,4.74128193
Hungary,2003,4.084523338
Hungary,2004,5.000448324
Hungary,2005,4.295278477
Hungary,2006,3.947769723
Hungary,2007,0.276980757
Hungary,2008,1.006464779
Hungary,2009,-6.595474129
Hungary,2010,1.083118668
Hungary,2011,1.860155072
Hungary,2012,-1.257749507
Hungary,2013,1.806363928
Hungary,2014,4.223725539
Hungary,2015,3.703259936
Hungary,2016,2.191960369
Hungary,2017,4.268557419
Hungary,2018,5.359496489
Hungary,2019,4.554063072
Iceland,2000,4.98504277
Iceland,2001,4.013497555
Iceland,2002,0.559519082
Iceland,2003,2.142688379
Iceland,2004,7.802399508
Iceland,2005,6.124438965
Iceland,2006,6.316993086
Iceland,2007,8.454860096
Iceland,2008,2.209496419
Iceland,2009,-7.66380956
Iceland,2010,-2.832774915
Iceland,2011,1.845779156
Iceland,2012,1.063636607
Iceland,2013,4.55246032
Iceland,2014,1.687215018
Iceland,2015,4.436663719
Iceland,2016,6.303687107
Iceland,2017,4.194948829
Iceland,2018,4.892180731
Iceland,2019,2.434823
Ireland,2000,9.399418006
Ireland,2001,5.304484392
Ireland,2002,5.896231721
Ireland,2003,3.009584321
Ireland,2004,6.785872817
Ireland,2005,5.73621145
Ireland,2006,4.980502016
Ireland,2007,5.30546835
Ireland,2008,-4.486599314
Ireland,2009,-5.100471121
Ireland,2010,1.755080743
Ireland,2011,1.068526654
Ireland,2012,-0.052354785
Ireland,2013,1.267014661
Ireland,2014,8.713697808
Ireland,2015,25.17624519
Ireland,2016,2.042232527
Ireland,2017,8.940012772
Ireland,2018,9.0301611
Ireland,2019,4.917006978
Italy,2000,3.786955143
Italy,2001,1.951371556
Italy,2002,0.253942999
Italy,2003,0.138626891
Italy,2004,1.423594158
Italy,2005,0.817848974
Italy,2006,1.790639681
Italy,2007,1.48707298
Italy,2008,-0.962012841
Italy,2009,-5.280937208
Italy,2010,1.713295839
Italy,2011,0.707333347
Italy,2012,-2.980905768
Italy,2013,-1.841065451
Italy,2014,-0.004547542
Italy,2015,0.778304351
Italy,2016,1.293462732
Italy,2017,1.667859041
Italy,2018,0.925810941
Italy,2019,0.410278294
Latvia,2000,5.675735172
Latvia,2001,6.328269951
Latvia,2002,7.087085682
Latvia,2003,8.422494257
Latvia,2004,8.281972087
Latvia,2005,10.71522829
Latvia,2006,11.96520396
Latvia,2007,9.943002121
Latvia,2008,-3.242799942
Latvia,2009,-14.24828338
Latvia,2010,-4.470941885
Latvia,2011,2.564422968
Latvia,2012,7.037317185
Latvia,2013,2.010744815
Latvia,2014,1.900096243
Latvia,2015,3.885027277
Latvia,2016,2.367609543
Latvia,2017,3.31308889
Latvia,2018,3.989480387
Latvia,2019,2.484326355
Lithuania,2000,3.695525421
Lithuania,2001,6.526108902
Lithuania,2002,6.751414576
Lithuania,2003,10.56595699
Lithuania,2004,6.569490118
Lithuania,2005,7.732367604
Lithuania,2006,7.414121335
Lithuania,2007,11.10748014
Lithuania,2008,2.614423033
Lithuania,2009,-14.83860837
Lithuania,2010,1.651240653
Lithuania,2011,6.03900816
Lithuania,2012,3.843864749
Lithuania,2013,3.550072843
Lithuania,2014,3.537009879
Lithuania,2015,2.024583955
Lithuania,2016,2.518828273
Lithuania,2017,4.282596951
Lithuania,2018,3.993310328
Lithuania,2019,4.573771737
Luxembourg,2000,6.938130249
Luxembourg,2001,3.074354999
Luxembourg,2002,3.2254169
Luxembourg,2003,2.619378579
Luxembourg,2004,4.231891307
Luxembourg,2005,2.482874748
Luxembourg,2006,6.016715044
Luxembourg,2007,8.098667607
Luxembourg,2008,-0.300176194
Luxembourg,2009,-3.238954027
Luxembourg,2010,3.760413593
Luxembourg,2011,1.044298695
Luxembourg,2012,1.64990203
Luxembourg,2013,3.171790499
Luxembourg,2014,2.623086016
Luxembourg,2015,2.269784484
Luxembourg,2016,4.978190437
Luxembourg,2017,1.317187663
Luxembourg,2018,2.00437712
Luxembourg,2019,3.283806756
Malta,2000,19.6812701
Malta,2001,-1.174697348
Malta,2002,2.565263253
Malta,2003,4.07406885
Malta,2004,0.140268127
Malta,2005,3.383593576
Malta,2006,2.510142345
Malta,2007,4.7747056
Malta,2008,3.826359416
Malta,2009,-1.133873468
Malta,2010,5.543639385
Malta,2011,0.467050856
Malta,2012,4.117707299
Malta,2013,5.473355695
Malta,2014,7.633538112
Malta,2015,9.608132811
Malta,2016,4.090917429
Malta,2017,8.119425289
Malta,2018,5.179224796
Malta,2019,5.539566337
Moldova,2000,2.107716048
Moldova,2001,6.100000413
Moldova,2002,7.799999641
Moldova,2003,6.600000038
Moldova,2004,7.39999969
Moldova,2005,7.500000139
Moldova,2006,4.79999985
Moldova,2007,3.00000024
Moldova,2008,7.800000145
Moldova,2009,-6.000000289
Moldova,2010,7.100000084
Moldova,2011,5.818166405
Moldova,2012,-0.589734126
Moldova,2013,9.043865482
Moldova,2014,4.999625669
