Country,year,percent
USA,2000,20.9
USA,2001,20.8
USA,2002,20.7
USA,2003,20.6
USA,2004,20.6
USA,2005,20.6
USA,2006,20.7
USA,2007,20.9
USA,2008,21.1
USA,2009,21.4
USA,2010,21.8
USA,2011,22.2
USA,2012,22.8
USA,2013,23.4
USA,2014,24
USA,2015,24.6
USA,2017,26.2
USA,2019,27.8
USA,2020,28.4
USA,2021,29.5
USA,2022,30.4
CHN,1950,8.5
CHN,1951,8.6
CHN,1952,8.5
CHN,1953,8.4
CHN,1954,8.4
CHN,1955,8.3
CHN,1956,8.3
CHN,1957,8.3
CHN,1958,8.3
CHN,1959,8.3
CHN,1960,8.3
CHN,1961,8.2
CHN,1962,8
CHN,1963,7.9
CHN,1964,7.9
CHN,1965,7.9
CHN,1966,8
CHN,1967,8.2
CHN,1968,8.4
CHN,1969,8.6
CHN,1970,8.8
CHN,1971,9
CHN,1972,9.2
CHN,1973,9.4
CHN,1974,9.5
CHN,1975,8.8
CHN,1976,9.9
CHN,1977,10
CHN,1978,10.2
CHN,1979,10.3
CHN,1980,10.5
CHN,1981,10.6
CHN,1982,10.7
CHN,1983,10.7
CHN,1984,10.8
CHN,1985,10.8
CHN,1986,10.8
CHN,1987,10.7
CHN,1988,10.7
CHN,1989,10.6
CHN,1990,10.2
CHN,1991,10.6
CHN,1992,10.6
CHN,1993,10.6
CHN,1994,10.7
CHN,1995,10.8
CHN,1996,10.9
CHN,1997,11.1
CHN,1998,11.2
CHN,1999,11.4
CHN,2000,11.4
CHN,2001,11.8
CHN,2002,12
CHN,2003,12.2
CHN,2004,12.3
CHN,2005,12.5
CHN,2006,12.5
CHN,2007,12.6
CHN,2008,12.6
CHN,2009,12.6
CHN,2010,12.7
CHN,2011,12.9
CHN,2012,13.1
CHN,2013,13.3
CHN,2014,13.7
CHN,2015,14.5
CHN,2017,15.6
CHN,2019,17.3
CHN,2020,18.5
CHN,2021,18.8
CHN,2022,19.4
