date,cntas,country,asset,Year
01/04/2012,2996654,European Central Bank,3296320,2012
01/07/2012,3080625,European Central Bank,3388687,2012
01/10/2012,3037186,European Central Bank,3340905,2012
01/01/2013,2777441,European Central Bank,3055186,2013
01/04/2013,2575734,European Central Bank,2833308,2013
01/07/2013,2374666,European Central Bank,2612133,2013
01/10/2013,2305988,European Central Bank,2536587,2013
01/01/2014,2195379,European Central Bank,2414917,2014
01/04/2014,2158637,European Central Bank,2374500,2014
01/07/2014,2033564,European Central Bank,2236921,2014
01/10/2014,2054905,European Central Bank,2260396,2014
01/01/2015,2169026,European Central Bank,2385928,2015
01/04/2015,2400624,European Central Bank,2640686,2015
01/07/2015,2550082,European Central Bank,2805091,2015
01/10/2015,2688157,European Central Bank,2956972,2015
01/01/2016,2828662,European Central Bank,3111528,2016
01/04/2016,3033101,European Central Bank,3336412,2016
01/07/2016,3314201,European Central Bank,3645621,2016
01/10/2016,3559372,European Central Bank,3915309,2016
01/01/2017,3803214,European Central Bank,4183535,2017
01/04/2017,4181065,European Central Bank,4599171,2017
01/07/2017,4270328,European Central Bank,4697361,2017
01/10/2017,4413252,European Central Bank,4854578,2017
01/01/2018,4505206,European Central Bank,4955727,2018
01/04/2018,4562949,European Central Bank,5019243,2018
01/07/2018,4616285,European Central Bank,5077914,2018
01/10/2018,4644608,European Central Bank,5109069,2018
01/01/2019,4694642,European Central Bank,5164107,2019
01/04/2019,4691292,European Central Bank,5160422,2019
01/07/2019,4676214,European Central Bank,5143835,2019
01/10/2019,4692303,European Central Bank,5161533,2019
01/01/2020,4727005,European Central Bank,5199706,2020
01/04/2020,5519119,European Central Bank,6071030,2020
01/07/2020,6404456,European Central Bank,7044902,2020
01/10/2020,6846910,European Central Bank,7531601,2020
