date,cntas,country,asset
2013-06-19,404220,Bank of England,525486
2013-06-12,403386,Bank of England,524402
2013-06-05,403404,Bank of England,524425
2013-05-29,403771,Bank of England,524902
2013-05-22,404294,Bank of England,525582
2013-05-15,402779,Bank of England,523613
2013-05-08,402968,Bank of England,523858
2013-05-01,403381,Bank of England,524395
2013-04-24,403858,Bank of England,525015
2013-04-17,404071,Bank of England,525292
2013-04-10,403969,Bank of England,525160
2013-04-03,403797,Bank of England,524936
2013-03-27,404061,Bank of England,525279
2013-03-20,403680,Bank of England,524784
2013-03-13,405567,Bank of England,527237
2013-03-06,402819,Bank of England,523665
2013-02-27,402431,Bank of England,523160
2013-02-20,404228,Bank of England,525496
2013-02-13,404054,Bank of England,525270
2013-02-06,404410,Bank of England,525733
2013-01-30,404517,Bank of England,525872
2013-01-23,405346,Bank of England,526950
2013-01-16,409853,Bank of England,532809
2013-01-09,409852,Bank of England,532808
2013-01-02,410223,Bank of England,533290
2012-12-26,410381,Bank of England,533495
2012-12-19,414611,Bank of England,538994
2012-12-12,415099,Bank of England,539629
2012-12-05,414552,Bank of England,538918
2012-11-28,414839,Bank of England,539291
2012-11-21,414343,Bank of England,538646
2012-11-14,414455,Bank of England,538792
2012-11-07,414472,Bank of England,538814
2012-10-31,413868,Bank of England,538028
2012-10-24,411001,Bank of England,534301
2012-10-17,407839,Bank of England,530191
2012-10-10,404623,Bank of England,526010
2012-10-03,402087,Bank of England,522713
2012-09-26,399508,Bank of England,519360
2012-09-19,396239,Bank of England,515111
2012-09-12,393093,Bank of England,511021
2012-09-05,390996,Bank of England,508295
2012-08-29,386729,Bank of England,502748
2012-08-22,384990,Bank of England,500487
2012-08-15,381014,Bank of England,495318
2012-08-08,378346,Bank of England,491850
2012-08-01,375949,Bank of England,488734
2012-07-25,372565,Bank of England,484335
2012-07-18,365522,Bank of England,475179
2012-07-11,362721,Bank of England,471537
2012-07-04,360450,Bank of England,468585
2012-06-27,360367,Bank of England,468477
2012-06-20,355316,Bank of England,461911
2012-06-13,355610,Bank of England,462293
2012-06-06,356319,Bank of England,463215
2012-05-30,356177,Bank of England,463030
2012-05-23,356252,Bank of England,463128
2012-05-16,356806,Bank of England,463848
2012-05-09,356368,Bank of England,463278
2012-05-02,355451,Bank of England,462086
2012-04-25,351251,Bank of England,456626
2012-04-18,345930,Bank of England,449709
2012-04-11,341042,Bank of England,443355
2012-04-04,338303,Bank of England,439794
2012-03-28,334150,Bank of England,434395
2012-03-21,331625,Bank of England,431113
2012-03-14,329620,Bank of England,428506
2012-03-07,324565,Bank of England,421935
2012-02-29,321228,Bank of England,417596
2012-02-22,313518,Bank of England,407573
2012-02-15,311459,Bank of England,404897
2012-02-08,308344,Bank of England,400847
2012-02-01,306428,Bank of England,398356
2012-01-25,301472,Bank of England,391914
2012-01-18,296927,Bank of England,386005
2012-01-11,297146,Bank of England,386290
2012-01-04,292222,Bank of England,379889
2011-12-28,290246,Bank of England,377320
2011-12-21,290062,Bank of England,377081
2011-12-14,290851,Bank of England,378106
2011-12-07,285580,Bank of England,371254
2011-11-30,281859,Bank of England,366417
2011-11-23,276556,Bank of England,359523
2011-11-16,272689,Bank of England,354496
2011-11-09,266972,Bank of England,347064
2011-11-02,261148,Bank of England,339492
2011-10-26,256207,Bank of England,333069
2011-10-19,250712,Bank of England,325926
2011-10-12,245817,Bank of England,319562
2011-10-05,242597,Bank of England,315376
2011-09-28,243044,Bank of England,315957
2011-09-21,243824,Bank of England,316971
2011-09-14,241557,Bank of England,314024
2011-09-07,241773,Bank of England,314305
2011-08-31,240199,Bank of England,312259
2011-08-24,239981,Bank of England,311975
2011-08-17,239904,Bank of England,311875
2011-08-10,239878,Bank of England,311841
2011-08-03,238254,Bank of England,309730
2011-07-27,237843,Bank of England,309196
2011-07-20,237220,Bank of England,308386
2011-07-13,235114,Bank of England,305648
2011-07-06,236330,Bank of England,307229
2011-06-29,236159,Bank of England,307007
2011-06-22,236552,Bank of England,307518
2011-06-15,239202,Bank of England,310963
2011-06-08,239396,Bank of England,311215
2011-06-01,239390,Bank of England,311207
2011-05-25,239608,Bank of England,311490
2011-05-18,239889,Bank of England,311856
2011-05-11,240210,Bank of England,312273
2011-05-04,240123,Bank of England,312160
2011-04-27,240221,Bank of England,312287
2011-04-20,240529,Bank of England,312688
2011-04-13,241573,Bank of England,314045
2011-04-06,242189,Bank of England,314846
2011-03-30,242484,Bank of England,315229
2011-03-23,242592,Bank of England,315370
2011-03-16,242580,Bank of England,315354
2011-03-09,244526,Bank of England,317884
2011-03-02,245070,Bank of England,318591
2011-02-23,240835,Bank of England,313086
2011-02-16,241642,Bank of England,314135
2011-02-09,241891,Bank of England,314458
2011-02-02,241131,Bank of England,313470
2011-01-26,241619,Bank of England,314105
2011-01-19,242903,Bank of England,315774
2011-01-12,244961,Bank of England,318449
2011-01-05,246545,Bank of England,320509
2010-12-29,246906,Bank of England,320978
2010-12-22,247086,Bank of England,321212
2010-12-15,246304,Bank of England,320195
2010-12-08,245619,Bank of England,319305
2010-12-01,245366,Bank of England,318976
2010-11-24,245793,Bank of England,319531
2010-11-17,242672,Bank of England,315474
2010-11-10,244167,Bank of England,317417
2010-11-03,244365,Bank of England,317675
2010-10-27,244163,Bank of England,317412
2010-10-20,243985,Bank of England,317181
2010-10-13,243745,Bank of England,316869
2010-10-06,244458,Bank of England,317795
2010-09-29,244854,Bank of England,318310
2010-09-22,244657,Bank of England,318054
2010-09-15,245500,Bank of England,319150
2010-09-08,247935,Bank of England,322316
2010-09-01,247462,Bank of England,321701
2010-08-25,247709,Bank of England,322022
2010-08-18,249917,Bank of England,324892
2010-08-11,250960,Bank of England,326248
2010-08-04,251463,Bank of England,326902
2010-07-28,252152,Bank of England,327798
2010-07-21,251917,Bank of England,327492
2010-07-14,249861,Bank of England,324819
2010-07-07,250181,Bank of England,325235
2010-06-30,250671,Bank of England,325872
2010-06-23,251394,Bank of England,326812
2010-06-16,250655,Bank of England,325852
2010-06-09,251255,Bank of England,326632
2010-06-02,252010,Bank of England,327613
2010-05-26,252302,Bank of England,327993
2010-05-19,251165,Bank of England,326515
2010-05-12,249927,Bank of England,324905
2010-05-05,249541,Bank of England,324403
2010-04-28,249906,Bank of England,324878
2010-04-21,250180,Bank of England,325234
2010-04-14,250312,Bank of England,325406
2010-04-07,251670,Bank of England,327171
2010-03-31,252336,Bank of England,328037
2010-03-24,251621,Bank of England,327107
2010-03-17,249470,Bank of England,324311
2010-03-10,250553,Bank of England,325719
2010-03-03,248275,Bank of England,322758
2010-02-24,247966,Bank of England,322356
2010-02-17,247280,Bank of England,321464
2010-02-10,245950,Bank of England,319735
2010-02-03,250690,Bank of England,325897
2010-01-27,249695,Bank of England,324604
2010-01-20,245484,Bank of England,319129
2010-01-13,241940,Bank of England,314522
2010-01-06,237756,Bank of England,309083
2009-12-30,237694,Bank of England,309002
2009-12-23,237966,Bank of England,309356
2009-12-16,240431,Bank of England,312560
2009-12-09,238787,Bank of England,310423
2009-12-02,239261,Bank of England,311039
2009-11-25,234631,Bank of England,305020
2009-11-18,235221,Bank of England,305787
2009-11-11,233543,Bank of England,303606
2009-11-04,236942,Bank of England,308025
2009-10-28,235345,Bank of England,305949
2009-10-21,229966,Bank of England,298956
2009-10-14,225173,Bank of England,292725
2009-10-07,222200,Bank of England,288860
2009-09-30,226407,Bank of England,294329
2009-09-23,222713,Bank of England,289527
2009-09-16,225989,Bank of England,293786
2009-09-09,221225,Bank of England,287593
2009-09-02,221614,Bank of England,288098
2009-08-26,220252,Bank of England,286328
2009-08-19,220511,Bank of England,286664
2009-08-12,217354,Bank of England,282560
2009-08-05,246639,Bank of England,320631
2009-07-29,245318,Bank of England,318913
2009-07-22,241789,Bank of England,314326
2009-07-15,237695,Bank of England,309004
2009-07-08,233730,Bank of England,303849
2009-07-01,226582,Bank of England,294557
2009-06-24,220105,Bank of England,286137
2009-06-17,222718,Bank of England,289533
2009-06-10,217030,Bank of England,282139
2009-06-03,220596,Bank of England,286775
2009-05-27,211324,Bank of England,274721
2009-05-20,221122,Bank of England,287459
2009-05-13,215150,Bank of England,279695
2009-05-06,218178,Bank of England,283631
2009-04-29,212569,Bank of England,276340
2009-04-22,209908,Bank of England,272880
2009-04-15,198920,Bank of England,258596
2009-04-08,214054,Bank of England,278270
2009-04-01,189396,Bank of England,246215
2009-03-25,181515,Bank of England,235970
2009-03-18,173360,Bank of England,225368
2009-03-11,184579,Bank of England,239953
2009-03-04,167018,Bank of England,217123
2009-02-25,177051,Bank of England,230166
2009-02-18,168404,Bank of England,218925
2009-02-11,181582,Bank of England,236057
2009-02-04,174267,Bank of England,226547
2009-01-28,189522,Bank of England,246379
2009-01-21,218961,Bank of England,284649
2009-01-14,257785,Bank of England,335121
2009-01-07,237516,Bank of England,308771
2008-12-31,238490,Bank of England,310037
2008-12-24,237149,Bank of England,308294
2008-12-17,225363,Bank of England,292972
2008-12-10,235801,Bank of England,306541
2008-12-03,259154,Bank of England,336900
2008-11-26,239049,Bank of England,310764
2008-11-19,262563,Bank of England,341332
2008-11-12,236729,Bank of England,307748
2008-11-05,251070,Bank of England,326391
2008-10-29,266396,Bank of England,346315
2008-10-22,292467,Bank of England,380207
2008-10-15,276747,Bank of England,359771
2008-10-08,199198,Bank of England,258957
2008-10-01,186592,Bank of England,242570
2008-09-24,137685,Bank of England,178991
2008-09-17,118031,Bank of England,153440
2008-09-10,93175,Bank of England,121128
2008-09-03,97746,Bank of England,127070
2008-08-27,93234,Bank of England,121204
2008-08-20,93428,Bank of England,121456
2008-08-13,92592,Bank of England,120370
2008-08-06,95574,Bank of England,124246
2008-07-30,93978,Bank of England,122171
2008-07-23,91925,Bank of England,119503
2008-07-16,90891,Bank of England,118158
2008-07-09,92391,Bank of England,120108
2008-07-02,89949,Bank of England,116934
2008-06-25,91837,Bank of England,119388
